Class,Precision,Recall,F1-score,Support
Black_rot,1.0000,0.9873,0.9936,236.0000
Esca,0.9893,1.0000,0.9946,277.0000
Healthy,1.0000,1.0000,1.0000,85.0000
Leaf_blight,1.0000,1.0000,1.0000,216.0000
Macro Average,0.9973,0.9968,0.9971,814.0000
